Study,User,Accx,Accy,accz,audio,piezo,time,label
Panera1,90:68:C3:7D:B7:0E,13680640,7192576,13778944,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,7946240,11698176,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,7815168,11681792,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,8011776,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,8159232,13893632,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13697024,8847360,13549568,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,7503872,14073856,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,9060352,13598720,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6897664,14286848,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,7110656,13697024,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5685248,13631488,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,6012928,12075008,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5931008,12910592,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,6111232,13565952,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,6111232,14155776,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,6324224,10371072,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5914624,13877248,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5734400,12107776,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5931008,10764288,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5914624,14123008,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5963776,13287424,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5996544,13942784,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5996544,14172160,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,6291456,13811712,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5488640,12500992,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,7880704,14483456,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6881280,9912320,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13697024,9748480,13156352,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6864896,11485184,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5865472,7913472,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6307840,12877824,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6275072,14024704,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6242304,16662528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,5849088,14139392,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,6062080,13910016,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5177344,12550144,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13647872,5373952,12779520,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13664256,5767168,12632064,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13680640,6307840,13975552,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13729792,10158080,13926400,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13729792,8863744,10600448,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13729792,8011776,13680640,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,9076736,11714560,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8617984,10518528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8159232,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8749056,13287424,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8634368,13664256,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,9830400,13860864,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8601600,13713408,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,7847936,12681216,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8060928,13484032,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,6701056,12648448,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,6422528,12779520,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,6995968,14041088,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,7127040,9617408,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8732672,13615104,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8011776,12615680,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8437760,13090816,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8175616,13860864,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,8814592,13615104,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,7749632,13680640,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13762560,7323648,13156352,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8142848,12779520,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7831552,13647872,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8470528,13549568,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8323072,10452992,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8077312,13811712,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7979008,13959168,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8273920,10616832,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,10469376,13713408,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8896512,13647872,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8290304,16662528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8159232,14008320,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7979008,13631488,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8257536,12877824,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8552448,13598720,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7258112,12255232,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7372800,13860864,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7110656,12009472,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7143424,8617984,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7340032,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7143424,13860864,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7536640,16662528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7503872,13729792,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7405568,13664256,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7536640,12730368,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7569408,13647872,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7061504,11862016,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,6668288,13647872,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,6635520,11583488,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7749632,10780672,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7733248,13336576,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7913472,13877248,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7929856,11829248,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7946240,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7897088,13975552,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7913472,16662528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7913472,12091392,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7946240,13762560,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7929856,13205504,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7782400,13434880,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7946240,12484608,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7995392,13697024,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8142848,11665408,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8339456,9814016,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8339456,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8519680,13418496,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8323072,16662528,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8650752,13910016,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8699904,13500416,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8486912,11763712,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8372224,13582336,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8290304,13615104,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8241152,13287424,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8142848,13778944,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8421376,9437184,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,8273920,13811712,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7651328,13434880,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7569408,8716288,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7569408,13844480,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7700480,13893632,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7405568,13713408,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7290880,12795904,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7553024,13647872,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7356416,13795328,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7602176,14106624,-1,1025,1.46378E+12,3
Panera1,90:68:C3:7D:B7:0E,13746176,7569408,11927552,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7421952,13680640,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7471104,13762560,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7471104,7602176,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7520256,13500416,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7421952,13484032,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7389184,16007168,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7454720,12746752,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7421952,13828096,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7454720,13762560,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7454720,13762560,-1,1025,1.46378E+12,1
Panera1,90:68:C3:7D:B7:0E,13746176,7536640,12500992,-1,1025,1.46378E+12,1
